unit,scenario_id,type,sensor,param,dir,timing_p,tau_s,T_u,degraded,calls_post
1,bias_T24_a0.3_neg_p0.2,bias,T24,0.3,neg,0.2,82,192,False,111
1,bias_T24_a0.3_neg_p0.4,bias,T24,0.3,neg,0.4,110,192,False,83
1,bias_T24_a0.3_neg_p0.6,bias,T24,0.3,neg,0.6,137,192,False,56
1,bias_T24_a0.3_pos_p0.4,bias,T24,0.3,pos,0.4,110,192,False,83
1,bias_T24_a0.3_pos_p0.6,bias,T24,0.3,pos,0.6,137,192,False,56
1,bias_T24_a0.3_pos_p0.8,bias,T24,0.3,pos,0.8,165,192,False,28
1,bias_T24_a0.5_neg_p0.2,bias,T24,0.5,neg,0.2,82,192,True,111
1,bias_T24_a0.5_neg_p0.6,bias,T24,0.5,neg,0.6,137,192,False,56
1,bias_T24_a0.5_neg_p0.8,bias,T24,0.5,neg,0.8,165,192,False,28
1,bias_T24_a0.5_pos_p0.2,bias,T24,0.5,pos,0.2,82,192,True,111
1,bias_T24_a0.5_pos_p0.4,bias,T24,0.5,pos,0.4,110,192,True,83
1,bias_T24_a0.5_pos_p0.8,bias,T24,0.5,pos,0.8,165,192,False,28
1,bias_T24_a0.75_neg_p0.2,bias,T24,0.75,neg,0.2,82,192,True,111
1,bias_T24_a0.75_neg_p0.4,bias,T24,0.75,neg,0.4,110,192,True,83
1,bias_T24_a0.75_neg_p0.6,bias,T24,0.75,neg,0.6,137,192,True,56
1,bias_T24_a0.75_pos_p0.4,bias,T24,0.75,pos,0.4,110,192,True,83
1,bias_T24_a0.75_pos_p0.6,bias,T24,0.75,pos,0.6,137,192,False,56
1,bias_T24_a0.75_pos_p0.8,bias,T24,0.75,pos,0.8,165,192,False,28
1,bias_T24_a1.0_neg_p0.2,bias,T24,1.0,neg,0.2,82,192,True,111
1,bias_T24_a1.0_neg_p0.6,bias,T24,1.0,neg,0.6,137,192,True,56
1,bias_T24_a1.0_neg_p0.8,bias,T24,1.0,neg,0.8,165,192,False,28
1,bias_T24_a1.0_pos_p0.2,bias,T24,1.0,pos,0.2,82,192,True,111
1,bias_T24_a1.0_pos_p0.4,bias,T24,1.0,pos,0.4,110,192,True,83
