unit,scenario_id,type,sensor,param,dir,timing_p,tau_s,T_u,n_after,delta_mean,delta_p50,delta_p95,delta_max,saturated,frac_gt_7.18,frac_gt_9.4,frac_gt_13.3,frac_gt_14.4
1,bias_T24_a0.3_neg_p0.2,bias,T24,0.3,neg,0.2,82,192,111,3.510347482320425,3.335906982421875,9.387165069580078,12.732231140136719,False,0.11711711711711711,0.05405405405405406,0.0,0.0
1,bias_T24_a0.3_neg_p0.4,bias,T24,0.3,neg,0.4,110,192,83,3.511969732950969,2.8114471435546875,7.514547729492186,15.19354248046875,False,0.0963855421686747,0.03614457831325301,0.024096385542168676,0.012048192771084338
1,bias_T24_a0.3_neg_p0.6,bias,T24,0.3,neg,0.6,137,192,56,2.1582706911223277,2.305828094482422,3.931460380554199,4.602306365966797,False,0.0,0.0,0.0,0.0
1,bias_T24_a0.3_neg_p0.8,bias,T24,0.3,neg,0.8,165,192,28,0.8909458943775722,0.8955860137939453,1.421351146697998,1.467275619506836,False,0.0,0.0,0.0,0.0
1,bias_T24_a0.3_pos_p0.2,bias,T24,0.3,pos,0.2,82,192,111,3.676786268079603,3.013641357421875,10.06869888305664,12.7164306640625,False,0.17117117117117117,0.07207207207207207,0.0,0.0
1,bias_T24_a0.3_pos_p0.4,bias,T24,0.3,pos,0.4,110,192,83,3.0325940143631165,2.5072288513183594,7.358557891845702,11.0009765625,False,0.07228915662650602,0.024096385542168676,0.0,0.0
1,bias_T24_a0.3_pos_p0.6,bias,T24,0.3,pos,0.6,137,192,56,2.041706221444266,2.1140804290771484,3.7582855224609375,4.423786163330078,False,0.0,0.0,0.0,0.0
1,bias_T24_a0.3_pos_p0.8,bias,T24,0.3,pos,0.8,165,192,28,0.8336660010474068,0.8676443099975586,1.3270586252212524,1.5341796875,False,0.0,0.0,0.0,0.0
1,bias_T24_a0.5_neg_p0.2,bias,T24,0.5,neg,0.2,82,192,111,5.711105969575074,5.511207580566406,14.59836196899414,20.89488983154297,False,0.2972972972972973,0.15315315315315314,0.07207207207207207,0.06306306306306306
1,bias_T24_a0.5_neg_p0.4,bias,T24,0.5,neg,0.4,110,192,83,5.993733101580516,5.067878723144531,13.104013824462879,21.49903106689453,False,0.40963855421686746,0.1686746987951807,0.04819277108433735,0.03614457831325301
1,bias_T24_a0.5_neg_p0.6,bias,T24,0.5,neg,0.6,137,192,56,3.716072840350015,3.8101091384887695,6.878276824951172,7.931964874267578,False,0.03571428571428571,0.0,0.0,0.0
1,bias_T24_a0.5_neg_p0.8,bias,T24,0.5,neg,0.8,165,192,28,1.5136855840682983,1.5013227462768555,2.4492426872253414,2.493715286254883,False,0.0,0.0,0.0,0.0
1,bias_T24_a0.5_pos_p0.2,bias,T24,0.5,pos,0.2,82,192,111,6.266402077030492,4.885730743408203,17.297374725341797,23.03131866455078,False,0.2972972972972973,0.23423423423423423,0.11711711711711711,0.11711711711711711
1,bias_T24_a0.5_pos_p0.4,bias,T24,0.5,pos,0.4,110,192,83,4.847773925367608,4.034156799316406,10.817443084716796,18.867042541503906,False,0.1566265060240964,0.08433734939759036,0.024096385542168676,0.024096385542168676
1,bias_T24_a0.5_pos_p0.6,bias,T24,0.5,pos,0.6,137,192,56,3.3184275967734203,3.4474802017211914,6.12602424621582,7.207099914550781,False,0.017857142857142856,0.0,0.0,0.0
1,bias_T24_a0.5_pos_p0.8,bias,T24,0.5,pos,0.8,165,192,28,1.3402577808925085,1.4241085052490234,2.114043116569519,2.530008316040039,False,0.0,0.0,0.0,0.0
1,bias_T24_a0.75_neg_p0.2,bias,T24,0.75,neg,0.2,82,192,111,8.2076586688961,7.901100158691406,19.125545501708984,27.271568298339844,False,0.5315315315315315,0.38738738738738737,0.13513513513513514,0.12612612612612611
1,bias_T24_a0.75_neg_p0.4,bias,T24,0.75,neg,0.4,110,192,83,9.282767037311233,7.602439880371094,23.049719619750967,29.96727752685547,False,0.5060240963855421,0.4578313253012048,0.30120481927710846,0.1927710843373494
1,bias_T24_a0.75_neg_p0.6,bias,T24,0.75,neg,0.6,137,192,56,5.85789327110563,5.827610969543457,10.59511947631836,14.399906158447266,False,0.375,0.21428571428571427,0.017857142857142856,0.0
1,bias_T24_a0.75_neg_p0.8,bias,T24,0.75,neg,0.8,165,192,28,2.334358266421727,2.2825984954833984,3.742960262298584,3.865793228149414,False,0.0,0.0,0.0,0.0
1,bias_T24_a0.75_pos_p0.2,bias,T24,0.75,pos,0.2,82,192,111,9.406598168450433,7.329978942871094,25.63030242919922,29.989418029785156,False,0.5225225225225225,0.3153153153153153,0.24324324324324326,0.23423423423423423
1,bias_T24_a0.75_pos_p0.4,bias,T24,0.75,pos,0.4,110,192,83,6.881818013018872,5.999732971191406,15.221613311767566,24.194854736328125,False,0.43373493975903615,0.27710843373493976,0.07228915662650602,0.060240963855421686
1,bias_T24_a0.75_pos_p0.6,bias,T24,0.75,pos,0.6,137,192,56,4.879571906157902,5.2342424392700195,8.710220336914062,10.407958984375,False,0.21428571428571427,0.03571428571428571,0.0,0.0
1,bias_T24_a0.75_pos_p0.8,bias,T24,0.75,pos,0.8,165,192,28,1.9239971808024816,2.0992536544799805,3.005982542037964,3.6769046783447266,False,0.0,0.0,0.0,0.0
1,bias_T24_a1.0_neg_p0.2,bias,T24,1.0,neg,0.2,82,192,111,10.503777177484185,9.909698486328125,25.578487396240234,31.172836303710938,False,0.6036036036036037,0.5495495495495496,0.3333333333333333,0.2702702702702703
1,bias_T24_a1.0_neg_p0.4,bias,T24,1.0,neg,0.4,110,192,83,13.15795095282865,10.969947814941406,31.397254180908195,36.894371032714844,False,0.6024096385542169,0.5542168674698795,0.4457831325301205,0.42168674698795183
1,bias_T24_a1.0_neg_p0.6,bias,T24,1.0,neg,0.6,137,192,56,8.273200154304504,7.905709266662598,15.515748977661133,21.868854522705078,False,0.5357142857142857,0.4107142857142857,0.21428571428571427,0.10714285714285714
1,bias_T24_a1.0_neg_p0.8,bias,T24,1.0,neg,0.8,165,192,28,3.1950888633728027,3.205752372741699,5.04032793045044,5.310819625854492,False,0.0,0.0,0.0,0.0
1,bias_T24_a1.0_pos_p0.2,bias,T24,1.0,pos,0.2,82,192,111,12.26868826204592,9.63400650024414,32.17925262451172,35.21527862548828,False,0.6396396396396397,0.5225225225225225,0.3063063063063063,0.2972972972972973
1,bias_T24_a1.0_pos_p0.4,bias,T24,1.0,pos,0.4,110,192,83,8.805323439908316,8.106559753417969,18.476449966430653,29.080886840820312,False,0.5783132530120482,0.43373493975903615,0.1927710843373494,0.0963855421686747
1,bias_T24_a1.0_pos_p0.6,bias,T24,1.0,pos,0.6,137,192,56,6.361936117921557,6.763265609741211,11.438547134399414,12.78940200805664,False,0.44642857142857145,0.21428571428571427,0.0,0.0
1,bias_T24_a1.0_pos_p0.8,bias,T24,1.0,pos,0.8,165,192,28,2.4563366174697876,2.722848415374756,3.834168529510498,4.715486526489258,False,0.0,0.0,0.0,0.0
1,bias_T30_a0.3_neg_p0.2,bias,T30,0.3,neg,0.2,82,192,111,0.4770301268981384,0.41109657287597656,1.0720710754394531,2.1298446655273438,False,0.0,0.0,0.0,0.0
1,bias_T30_a0.3_neg_p0.4,bias,T30,0.3,neg,0.4,110,192,83,0.7117603715643825,0.6524620056152344,1.2234622955322263,3.6605300903320312,False,0.0,0.0,0.0,0.0
1,bias_T30_a0.3_neg_p0.6,bias,T30,0.3,neg,0.6,137,192,56,0.563138655253819,0.6097755432128906,0.9800939559936523,1.0551033020019531,False,0.0,0.0,0.0,0.0
1,bias_T30_a0.3_neg_p0.8,bias,T30,0.3,neg,0.8,165,192,28,0.3581994431359427,0.36183929443359375,0.6294698238372802,0.7013740539550781,False,0.0,0.0,0.0,0.0
