unit,scenario_id,type,sensor,param,timing_p,tau_s,T_u,t_exit,pos_in_life,yhat_clean_at_exit,delta_at_exit,delta_min_after20,degraded_len_before,reentry_within_20,reentry_gap,is_final_exit,pattern
1,bias_T24_a0.3_pos_p0.2,bias,T24,0.3,0.2,82,192,125,0.6510416666666666,62.48336410522461,3.8538055419921875,2.590850830078125,17,False,,True,C
1,bias_T24_a0.5_neg_p0.2,bias,T24,0.5,0.2,82,192,154,0.8020833333333334,43.5553092956543,4.246807098388672,2.1574134826660156,46,False,,True,C
1,bias_T24_a0.5_neg_p0.4,bias,T24,0.5,0.4,110,192,154,0.8020833333333334,43.5553092956543,4.246807098388672,2.1574134826660156,38,False,,True,C
1,bias_T24_a0.5_pos_p0.2,bias,T24,0.5,0.2,82,192,151,0.7864583333333334,49.125579833984375,4.157989501953125,2.077871322631836,58,False,,True,C
1,bias_T24_a0.5_pos_p0.4,bias,T24,0.5,0.4,110,192,151,0.7864583333333334,49.125579833984375,4.365116119384766,2.077871322631836,33,False,,True,C
1,bias_T24_a0.75_neg_p0.2,bias,T24,0.75,0.2,82,192,165,0.859375,22.949012756347656,3.9546470642089844,2.0262699127197266,66,False,,True,C
1,bias_T24_a0.75_neg_p0.4,bias,T24,0.75,0.4,110,192,165,0.859375,22.949012756347656,3.9546470642089844,2.0262699127197266,52,False,,True,C
1,bias_T24_a0.75_neg_p0.6,bias,T24,0.75,0.6,137,192,175,0.9114583333333334,12.318920135498047,3.1397705078125,0.409304141998291,28,False,,True,B
1,bias_T24_a0.75_pos_p0.2,bias,T24,0.75,0.2,82,192,163,0.8489583333333334,27.417173385620117,4.08503532409668,2.280576705932617,71,False,,True,C
1,bias_T24_a0.75_pos_p0.4,bias,T24,0.75,0.4,110,192,163,0.8489583333333334,27.417173385620117,4.08503532409668,2.280576705932617,46,False,,True,C
1,bias_T24_a1.0_neg_p0.2,bias,T24,1.0,0.2,82,192,172,0.8958333333333334,14.701148986816406,4.316862106323242,0.5465526580810547,73,False,,True,C
1,bias_T24_a1.0_neg_p0.4,bias,T24,1.0,0.4,110,192,172,0.8958333333333334,14.701148986816406,4.316862106323242,0.5465526580810547,59,False,,True,C
