unit,T_u,scenario_id,type,sensor,param_name,param,dir,timing_p,tau_s,rng_seed,signs,theta_name,theta_value,k,m,theta_low_ratio,degraded,tau_d,delay,n_degraded_cycles,n_transitions,n_reversions,frac_degraded_after_tau_s,saturated_at_tau_s
1,192,bias_T24_a0.3_neg_p0.2,bias,T24,alpha,0.3,neg,0.2,82,,,theta_primary,9.398713684082026,5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_neg_p0.2,bias,T24,alpha,0.3,neg,0.2,82,,,theta_alt1,"max(0.2*yhat,9.399)",5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_neg_p0.2,bias,T24,alpha,0.3,neg,0.2,82,,,theta_alt2,13.331430435180664,5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_neg_p0.4,bias,T24,alpha,0.3,neg,0.4,110,,,theta_primary,9.398713684082026,5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_neg_p0.4,bias,T24,alpha,0.3,neg,0.4,110,,,theta_alt1,"max(0.2*yhat,9.399)",5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_neg_p0.4,bias,T24,alpha,0.3,neg,0.4,110,,,theta_alt2,13.331430435180664,5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_neg_p0.6,bias,T24,alpha,0.3,neg,0.6,137,,,theta_primary,9.398713684082026,5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_neg_p0.6,bias,T24,alpha,0.3,neg,0.6,137,,,theta_alt1,"max(0.2*yhat,9.399)",5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_neg_p0.6,bias,T24,alpha,0.3,neg,0.6,137,,,theta_alt2,13.331430435180664,5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_neg_p0.8,bias,T24,alpha,0.3,neg,0.8,165,,,theta_primary,9.398713684082026,5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_neg_p0.8,bias,T24,alpha,0.3,neg,0.8,165,,,theta_alt1,"max(0.2*yhat,9.399)",5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_neg_p0.8,bias,T24,alpha,0.3,neg,0.8,165,,,theta_alt2,13.331430435180664,5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_pos_p0.2,bias,T24,alpha,0.3,pos,0.2,82,,,theta_primary,9.398713684082026,5,7,0.5,True,108.0,26.0,17,2,1,0.15315315315315314,False
1,192,bias_T24_a0.3_pos_p0.2,bias,T24,alpha,0.3,pos,0.2,82,,,theta_alt1,"max(0.2*yhat,9.399)",5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_pos_p0.2,bias,T24,alpha,0.3,pos,0.2,82,,,theta_alt2,13.331430435180664,5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_pos_p0.4,bias,T24,alpha,0.3,pos,0.4,110,,,theta_primary,9.398713684082026,5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_pos_p0.4,bias,T24,alpha,0.3,pos,0.4,110,,,theta_alt1,"max(0.2*yhat,9.399)",5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_pos_p0.4,bias,T24,alpha,0.3,pos,0.4,110,,,theta_alt2,13.331430435180664,5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_pos_p0.6,bias,T24,alpha,0.3,pos,0.6,137,,,theta_primary,9.398713684082026,5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_pos_p0.6,bias,T24,alpha,0.3,pos,0.6,137,,,theta_alt1,"max(0.2*yhat,9.399)",5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_pos_p0.6,bias,T24,alpha,0.3,pos,0.6,137,,,theta_alt2,13.331430435180664,5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_pos_p0.8,bias,T24,alpha,0.3,pos,0.8,165,,,theta_primary,9.398713684082026,5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_pos_p0.8,bias,T24,alpha,0.3,pos,0.8,165,,,theta_alt1,"max(0.2*yhat,9.399)",5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.3_pos_p0.8,bias,T24,alpha,0.3,pos,0.8,165,,,theta_alt2,13.331430435180664,5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.5_neg_p0.2,bias,T24,alpha,0.5,neg,0.2,82,,,theta_primary,9.398713684082026,5,7,0.5,True,108.0,26.0,46,2,1,0.4144144144144144,False
1,192,bias_T24_a0.5_neg_p0.2,bias,T24,alpha,0.5,neg,0.2,82,,,theta_alt1,"max(0.2*yhat,9.399)",5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.5_neg_p0.2,bias,T24,alpha,0.5,neg,0.2,82,,,theta_alt2,13.331430435180664,5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.5_neg_p0.4,bias,T24,alpha,0.5,neg,0.4,110,,,theta_primary,9.398713684082026,5,7,0.5,True,116.0,6.0,38,2,1,0.4578313253012048,False
1,192,bias_T24_a0.5_neg_p0.4,bias,T24,alpha,0.5,neg,0.4,110,,,theta_alt1,"max(0.2*yhat,9.399)",5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.5_neg_p0.4,bias,T24,alpha,0.5,neg,0.4,110,,,theta_alt2,13.331430435180664,5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.5_neg_p0.6,bias,T24,alpha,0.5,neg,0.6,137,,,theta_primary,9.398713684082026,5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.5_neg_p0.6,bias,T24,alpha,0.5,neg,0.6,137,,,theta_alt1,"max(0.2*yhat,9.399)",5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.5_neg_p0.6,bias,T24,alpha,0.5,neg,0.6,137,,,theta_alt2,13.331430435180664,5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.5_neg_p0.8,bias,T24,alpha,0.5,neg,0.8,165,,,theta_primary,9.398713684082026,5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.5_neg_p0.8,bias,T24,alpha,0.5,neg,0.8,165,,,theta_alt1,"max(0.2*yhat,9.399)",5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.5_neg_p0.8,bias,T24,alpha,0.5,neg,0.8,165,,,theta_alt2,13.331430435180664,5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.5_pos_p0.2,bias,T24,alpha,0.5,pos,0.2,82,,,theta_primary,9.398713684082026,5,7,0.5,True,93.0,11.0,58,2,1,0.5225225225225225,False
1,192,bias_T24_a0.5_pos_p0.2,bias,T24,alpha,0.5,pos,0.2,82,,,theta_alt1,"max(0.2*yhat,9.399)",5,7,0.5,False,,,0,0,0,0.0,False
1,192,bias_T24_a0.5_pos_p0.2,bias,T24,alpha,0.5,pos,0.2,82,,,theta_alt2,13.331430435180664,5,7,0.5,True,99.0,17.0,26,2,1,0.23423423423423423,False
1,192,bias_T24_a0.5_pos_p0.4,bias,T24,alpha,0.5,pos,0.4,110,,,theta_primary,9.398713684082026,5,7,0.5,True,118.0,8.0,33,2,1,0.39759036144578314,False
1,192,bias_T24_a0.5_pos_p0.4,bias,T24,alpha,0.5,pos,0.4,110,,,theta_alt1,"max(0.2*yhat,9.399)",5,7,0.5,False,,,0,0,0,0.0,False
