scenario_id,detector,view,block,sigma,direction,status,fa_raw_100,fa_conf_100,t_fault,t_clean,alarm_advance,latency,latency_raw,penalized_delay,pre_onset_fpr,had_pre_onset_alarm,operational_success,conditional_success
ctrl_u11,cusum_xs,native,ctrl,,,control,0.0,0.0,,,,,,,,,,
ctrl_u11,cusum_xs,comparison,ctrl,,,control,0.0,0.0,,,,,,,,,,
ctrl_u11,cusum_xsw,native,ctrl,,,control,0.0,0.0,,,,,,,,,,
ctrl_u11,cusum_xsw,comparison,ctrl,,,control,0.0,0.0,,,,,,,,,,
ctrl_u11,cusum_regime,native,ctrl,,,control,0.0,0.0,,,,,,,,,,
ctrl_u11,cusum_regime,comparison,ctrl,,,control,0.0,0.0,,,,,,,,,,
ctrl_u11,t2_xs,native,ctrl,,,control,0.0,0.0,,,,,,,,,,
ctrl_u11,t2_xs,comparison,ctrl,,,control,3.51,0.0,,,,,,,,,,
ctrl_u11,t2_xsw,native,ctrl,,,control,1.69,0.0,,,,,,,,,,
ctrl_u11,t2_xsw,comparison,ctrl,,,control,1.75,0.0,,,,,,,,,,
ctrl_u11,t2_regime,native,ctrl,,,control,0.0,0.0,,,,,,,,,,
ctrl_u11,t2_regime,comparison,ctrl,,,control,0.0,0.0,,,,,,,,,,
ctrl_u11,spe_xs,native,ctrl,,,control,0.0,0.0,,,,,,,,,,
ctrl_u11,spe_xs,comparison,ctrl,,,control,1.75,0.0,,,,,,,,,,
ctrl_u11,spe_xsw,native,ctrl,,,control,0.0,0.0,,,,,,,,,,
ctrl_u11,spe_xsw,comparison,ctrl,,,control,1.75,0.0,,,,,,,,,,
ctrl_u11,spe_regime,native,ctrl,,,control,0.0,0.0,,,,,,,,,,
ctrl_u11,spe_regime,comparison,ctrl,,,control,1.75,0.0,,,,,,,,,,
ctrl_u14,cusum_xs,native,ctrl,,,control,97.37,1.32,,,,,,,,,,
ctrl_u14,cusum_xs,comparison,ctrl,,,control,33.33,1.33,,,,,,,,,,
ctrl_u14,cusum_xsw,native,ctrl,,,control,97.37,1.32,,,,,,,,,,
ctrl_u14,cusum_xsw,comparison,ctrl,,,control,33.33,1.33,,,,,,,,,,
ctrl_u14,cusum_regime,native,ctrl,,,control,63.16,1.32,,,,,,,,,,
ctrl_u14,cusum_regime,comparison,ctrl,,,control,22.67,1.33,,,,,,,,,,
ctrl_u14,t2_xs,native,ctrl,,,control,92.11,7.89,,,,,,,,,,
ctrl_u14,t2_xs,comparison,ctrl,,,control,33.33,1.33,,,,,,,,,,
ctrl_u14,t2_xsw,native,ctrl,,,control,92.11,7.89,,,,,,,,,,
ctrl_u14,t2_xsw,comparison,ctrl,,,control,33.33,1.33,,,,,,,,,,
ctrl_u14,t2_regime,native,ctrl,,,control,6.58,1.32,,,,,,,,,,
ctrl_u14,t2_regime,comparison,ctrl,,,control,0.0,0.0,,,,,,,,,,
ctrl_u14,spe_xs,native,ctrl,,,control,0.0,0.0,,,,,,,,,,
ctrl_u14,spe_xs,comparison,ctrl,,,control,2.67,0.0,,,,,,,,,,
ctrl_u14,spe_xsw,native,ctrl,,,control,5.26,0.0,,,,,,,,,,
ctrl_u14,spe_xsw,comparison,ctrl,,,control,5.33,0.0,,,,,,,,,,
ctrl_u14,spe_regime,native,ctrl,,,control,68.42,15.79,,,,,,,,,,
ctrl_u14,spe_regime,comparison,ctrl,,,control,24.0,6.67,,,,,,,,,,
ctrl_u15,cusum_xs,native,ctrl,,,control,89.55,1.49,,,,,,,,,,
ctrl_u15,cusum_xs,comparison,ctrl,,,control,30.3,1.52,,,,,,,,,,
ctrl_u15,cusum_xsw,native,ctrl,,,control,89.55,1.49,,,,,,,,,,
ctrl_u15,cusum_xsw,comparison,ctrl,,,control,30.3,1.52,,,,,,,,,,
ctrl_u15,cusum_regime,native,ctrl,,,control,0.0,0.0,,,,,,,,,,
ctrl_u15,cusum_regime,comparison,ctrl,,,control,0.0,0.0,,,,,,,,,,
ctrl_u15,t2_xs,native,ctrl,,,control,16.42,2.99,,,,,,,,,,
ctrl_u15,t2_xs,comparison,ctrl,,,control,7.58,0.0,,,,,,,,,,
ctrl_u15,t2_xsw,native,ctrl,,,control,14.93,1.49,,,,,,,,,,
ctrl_u15,t2_xsw,comparison,ctrl,,,control,7.58,0.0,,,,,,,,,,
ctrl_u15,t2_regime,native,ctrl,,,control,0.0,0.0,,,,,,,,,,
ctrl_u15,t2_regime,comparison,ctrl,,,control,0.0,0.0,,,,,,,,,,
ctrl_u15,spe_xs,native,ctrl,,,control,1.49,0.0,,,,,,,,,,
ctrl_u15,spe_xs,comparison,ctrl,,,control,1.52,0.0,,,,,,,,,,
ctrl_u15,spe_xsw,native,ctrl,,,control,1.49,0.0,,,,,,,,,,
ctrl_u15,spe_xsw,comparison,ctrl,,,control,1.52,0.0,,,,,,,,,,
ctrl_u15,spe_regime,native,ctrl,,,control,13.43,1.49,,,,,,,,,,
ctrl_u15,spe_regime,comparison,ctrl,,,control,3.03,0.0,,,,,,,,,,
A_add_T48_ramp15_0p15_pos_u11,cusum_xs,native,A,0.15,1,clean_detected,,,54,,6,27,26,27,0.0,False,True,True
A_add_T48_ramp15_0p15_pos_u11,cusum_xs,comparison,A,0.15,1,clean_detected,,,54,,6,27,24,27,0.0,False,True,True
A_add_T48_ramp15_0p15_pos_u11,cusum_xsw,native,A,0.15,1,clean_detected,,,54,,6,27,26,27,0.0,False,True,True
A_add_T48_ramp15_0p15_pos_u11,cusum_xsw,comparison,A,0.15,1,clean_detected,,,54,,6,27,24,27,0.0,False,True,True
A_add_T48_ramp15_0p15_pos_u11,cusum_regime,native,A,0.15,1,clean_detected,,,59,,1,32,31,32,0.0,False,True,True
A_add_T48_ramp15_0p15_pos_u11,cusum_regime,comparison,A,0.15,1,miss,,,,,,,30,32,0.0,False,False,False
A_add_T48_ramp15_0p15_pos_u11,t2_xs,native,A,0.15,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p15_pos_u11,t2_xs,comparison,A,0.15,1,miss,,,,,,,3,32,0.0,False,False,False
A_add_T48_ramp15_0p15_pos_u11,t2_xsw,native,A,0.15,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p15_pos_u11,t2_xsw,comparison,A,0.15,1,miss,,,,,,,3,32,0.0,False,False,False
A_add_T48_ramp15_0p15_pos_u11,t2_regime,native,A,0.15,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p15_pos_u11,t2_regime,comparison,A,0.15,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p15_pos_u11,spe_xs,native,A,0.15,1,clean_detected,,,57,,3,30,29,30,0.0,False,True,True
A_add_T48_ramp15_0p15_pos_u11,spe_xs,comparison,A,0.15,1,clean_detected,,,57,,3,30,27,30,0.0,False,True,True
A_add_T48_ramp15_0p15_pos_u11,spe_xsw,native,A,0.15,1,clean_detected,,,57,,3,30,29,30,0.0,False,True,True
A_add_T48_ramp15_0p15_pos_u11,spe_xsw,comparison,A,0.15,1,clean_detected,,,57,,3,30,27,30,0.0,False,True,True
A_add_T48_ramp15_0p15_pos_u11,spe_regime,native,A,0.15,1,clean_detected,,,43,,17,16,12,16,0.0,False,True,True
A_add_T48_ramp15_0p15_pos_u11,spe_regime,comparison,A,0.15,1,clean_detected,,,42,,18,15,12,15,0.0,False,True,True
A_add_T48_ramp15_0p15_neg_u11,cusum_xs,native,A,0.15,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p15_neg_u11,cusum_xs,comparison,A,0.15,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p15_neg_u11,cusum_xsw,native,A,0.15,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p15_neg_u11,cusum_xsw,comparison,A,0.15,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p15_neg_u11,cusum_regime,native,A,0.15,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p15_neg_u11,cusum_regime,comparison,A,0.15,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p15_neg_u11,t2_xs,native,A,0.15,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p15_neg_u11,t2_xs,comparison,A,0.15,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p15_neg_u11,t2_xsw,native,A,0.15,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p15_neg_u11,t2_xsw,comparison,A,0.15,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p15_neg_u11,t2_regime,native,A,0.15,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p15_neg_u11,t2_regime,comparison,A,0.15,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p15_neg_u11,spe_xs,native,A,0.15,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p15_neg_u11,spe_xs,comparison,A,0.15,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p15_neg_u11,spe_xsw,native,A,0.15,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p15_neg_u11,spe_xsw,comparison,A,0.15,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p15_neg_u11,spe_regime,native,A,0.15,-1,clean_detected,,,48,,12,21,10,21,0.0,False,True,True
A_add_T48_ramp15_0p15_neg_u11,spe_regime,comparison,A,0.15,-1,clean_detected,,,42,,18,15,12,15,0.0,False,True,True
A_add_T48_ramp15_0p25_pos_u11,cusum_xs,native,A,0.25,1,clean_detected,,,47,,13,20,19,20,0.0,False,True,True
A_add_T48_ramp15_0p25_pos_u11,cusum_xs,comparison,A,0.25,1,clean_detected,,,48,,12,21,18,21,0.0,False,True,True
A_add_T48_ramp15_0p25_pos_u11,cusum_xsw,native,A,0.25,1,clean_detected,,,47,,13,20,19,20,0.0,False,True,True
A_add_T48_ramp15_0p25_pos_u11,cusum_xsw,comparison,A,0.25,1,clean_detected,,,48,,12,21,18,21,0.0,False,True,True
A_add_T48_ramp15_0p25_pos_u11,cusum_regime,native,A,0.25,1,clean_detected,,,51,,9,24,23,24,0.0,False,True,True
A_add_T48_ramp15_0p25_pos_u11,cusum_regime,comparison,A,0.25,1,clean_detected,,,54,,6,27,24,27,0.0,False,True,True
A_add_T48_ramp15_0p25_pos_u11,t2_xs,native,A,0.25,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_pos_u11,t2_xs,comparison,A,0.25,1,miss,,,,,,,3,32,0.0,False,False,False
A_add_T48_ramp15_0p25_pos_u11,t2_xsw,native,A,0.25,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_pos_u11,t2_xsw,comparison,A,0.25,1,miss,,,,,,,3,32,0.0,False,False,False
A_add_T48_ramp15_0p25_pos_u11,t2_regime,native,A,0.25,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_pos_u11,t2_regime,comparison,A,0.25,1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_pos_u11,spe_xs,native,A,0.25,1,clean_detected,,,55,,5,28,27,28,0.0,False,True,True
A_add_T48_ramp15_0p25_pos_u11,spe_xs,comparison,A,0.25,1,clean_detected,,,54,,6,27,24,27,0.0,False,True,True
A_add_T48_ramp15_0p25_pos_u11,spe_xsw,native,A,0.25,1,clean_detected,,,55,,5,28,27,28,0.0,False,True,True
A_add_T48_ramp15_0p25_pos_u11,spe_xsw,comparison,A,0.25,1,clean_detected,,,57,,3,30,27,30,0.0,False,True,True
A_add_T48_ramp15_0p25_pos_u11,spe_regime,native,A,0.25,1,clean_detected,,,36,,24,9,8,9,0.0,False,True,True
A_add_T48_ramp15_0p25_pos_u11,spe_regime,comparison,A,0.25,1,clean_detected,,,39,,21,12,9,12,0.0,False,True,True
A_add_T48_ramp15_0p25_neg_u11,cusum_xs,native,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,cusum_xs,comparison,A,0.25,-1,miss,,,,,,,18,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,cusum_xsw,native,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,cusum_xsw,comparison,A,0.25,-1,miss,,,,,,,18,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,cusum_regime,native,A,0.25,-1,clean_detected,,,53,,7,26,25,26,0.0,False,True,True
A_add_T48_ramp15_0p25_neg_u11,cusum_regime,comparison,A,0.25,-1,clean_detected,,,51,,9,24,21,24,0.0,False,True,True
A_add_T48_ramp15_0p25_neg_u11,t2_xs,native,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,t2_xs,comparison,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,t2_xsw,native,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,t2_xsw,comparison,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,t2_regime,native,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,t2_regime,comparison,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,spe_xs,native,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,spe_xs,comparison,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,spe_xsw,native,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
A_add_T48_ramp15_0p25_neg_u11,spe_xsw,comparison,A,0.25,-1,miss,,,,,,,,32,0.0,False,False,False
